Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency_num,Recommendation_Helpfulness,Rating_Accuracy,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas
2023-06-04 13.28.19,23,Female,Few times a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Sometimes,Yes,Occasionally,Yes,2,Yes,1,1,Competitive prices,Reducing packaging waste
2023-06-04 14.30.44,23,Female,Once a month,Clothing and Fashion,Yes,Few times a month,Keyword,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,2,Sometimes,3,2,Wide product selection,Reducing packaging waste
2023-06-04 17.04.56,24,Prefer not to say,Few times a month,Groceries and Gourmet Food;Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,2,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Occasionally,No,4,No,3,3,Competitive prices,Product quality and accuracy
2023-06-04 17.13.00,24,Female,Once a month,Beauty and Personal Care;Clothing and Fashion;others,Sometimes,Few times a month,Keyword,First page,5,Maybe,Sometimes,Found a better price elsewhere,Sometimes,Yes,Heavily,Yes,3,Sometimes,3,4,Competitive prices,Product quality and accuracy
2023-06-04 17.28.06,22,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Yes,Few times a month,Filter,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Heavily,Yes,4,Yes,2,2,Competitive prices,Product quality and accuracy
2023-06-04 18.01.59,21,Female,Less than once a month,Clothing and Fashion,No,Rarely,categories,Multiple pages,1,Yes,Rarely,Changed my mind or no longer need the item,Never,No,Heavily,Yes,5,No,5,2,Wide product selection,Product quality and accuracy
2023-06-04 18.31.41,22,Female,Less than once a month,Clothing and Fashion,No,Rarely,Filter,Multiple pages,1,Yes,Often,High shipping costs,Rarely,No,Heavily,Yes,3,Sometimes,3,3,Wide product selection,Shipping speed and reliability
2023-06-04 19.13.12,21,Female,Few times a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Often,Found a better price elsewhere,Rarely,No,Heavily,Sometimes,3,Sometimes,1,3,Competitive prices,Shipping speed and reliability
2023-06-04 19.23.21,20,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,Sometimes,Few times a month,Keyword,First page,1,Yes,Sometimes,Changed my mind or no longer need the item,Often,No,Moderately,Yes,2,Yes,2,2,Wide product selection,Reducing packaging waste
2023-06-04 19.33.12,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Rarely,Keyword,Multiple pages,1,Yes,Rarely,Found a better price elsewhere,Rarely,No,Heavily,Yes,3,Yes,3,4,Wide product selection,Product quality and accuracy
2023-06-04 19.45.33,22,Female,Less than once a month,Clothing and Fashion,No,Few times a month,categories,Multiple pages,1,Maybe,Sometimes,Found a better price elsewhere,Sometimes,No,Heavily,Yes,3,Sometimes,3,2,Competitive prices,Shipping speed and reliability
2023-06-04 19.48.31,25,Female,Multiple times a week,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Sometimes,Yes,Heavily,Yes,3,Yes,3,1,Wide product selection,Product quality and accuracy
2023-06-04 20.00.11,23,Female,Less than once a month,Beauty and Personal Care;Clothing and Fashion,No,Few times a month,Keyword,First page,1,Maybe,Sometimes,Changed my mind or no longer need the item,Rarely,No,Heavily,Sometimes,2,No,3,2,Competitive prices,Product quality and accuracy
2023-06-04 20.01.45,24,Female,Once a month,Clothing and Fashion;Home and Kitchen,No,Few times a month,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Often,Yes,Moderately,Yes,2,Yes,2,2,Wide product selection,Product quality and accuracy
2023-06-04 20.02.28,21,Female,Less than once a month,Beauty and Personal Care,Yes,Few times a week,Keyword,Multiple pages,1,Yes,Often,Changed my mind or no longer need the item,Always,Yes,Heavily,Yes,5,Sometimes,3,1,User-friendly website/app interface,Reducing packaging waste
2023-06-04 20.20.42,23,Female,Less than once a month,others,No,Rarely,Filter,First page,1,Maybe,Sometimes,High shipping costs,Sometimes,No,Heavily,Yes,3,Sometimes,3,3,User-friendly website/app interface,Shipping speed and reliability
2023-06-04 20.39.53,16,Male,Few times a month,Clothing and Fashion;others,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Never,No,Heavily,Yes,3,Sometimes,3,2,Wide product selection,Shipping speed and reliability
2023-06-04 20.45.45,21,Female,Less than once a month,Clothing and Fashion,No,Few times a month,Keyword,Multiple pages,1,Maybe,Sometimes,others,Never,No,Heavily,Yes,2,Yes,2,1,Wide product selection,Shipping speed and reliability
2023-06-04 20.46.02,23,Female,Few times a month,Beauty and Personal Care;Home and Kitchen,Sometimes,Few times a month,Keyword,Multiple pages,1,Yes,Sometimes,High shipping costs,Rarely,No,Moderately,Yes,2,Sometimes,3,2,Wide product selection,Customer service responsiveness
2023-06-04 20.48.59,25,Female,Less than once a month,Beauty and Personal Care,No,Few times a week,Keyword,Multiple pages,1,Yes,Sometimes,Found a better price elsewhere,Rarely,No,Heavily,Yes,4,Sometimes,3,2,Wide product selection,Product quality and accuracy
